budget,genres,original_language,popularity,release_date,revenue
3500000,35,en,4.456904,2006,113783
22531334.11,35,en,1.319188,1988,12277096
125000,18,en,10.850569,2011,3200000
9000000,35,en,5.997054,1998,17096053
40000000,53,en,9.825841,2007,62771059
22531334.11,14,en,0.836108,1989,25000
22531334.11,99,en,8.802715,1982,1723872
19000000,80,en,10.966015,2005,144216468
5000000,9648,en,6.501177,1975,41833347
2000000,12,en,11.189831,1981,24600832
22531334.11,35,en,9.021668,1985,55600000
22531334.11,80,en,5.524866,1987,2585639
3500000,28,en,8.55931,2066,12000000
11000000,12,en,8.929393,1991,2807854
12468389,35,en,6.116093,2011,29007412
38000000,28,en,1.406181,2001,207283925
90000000,27,en,5.496624,2000,14828081
22531334.11,18,en,0.060645,1997,532654
15000000,28,en,14.778884,1982,125212904
32000000,12,en,11.137888,1989,156167015
30000000,53,en,5.844016,2008,31148328
22531334.11,18,en,5.725912,2002,20957001
22531334.11,35,en,10.313689,1991,21830957
6000000,12,ja,9.534232,2010,17555141
82500000,35,en,9.796552,2006,237681299
14000000,18,en,1.36737,1997,161001698
5000000,35,en,3.172765,2006,3833507
259000,18,en,0.722511,2028,921000
180000000,16,en,16.088366,2008,521311860
22531334.11,18,en,12.017861,2014,16337881
4000000,27,en,5.263187,1996,16675000
40000000,10749,en,7.271503,2012,79700000
22531334.11,35,en,6.395748,2016,37915971
22531334.11,28,en,13.762328,1983,13168027
4500000,35,en,3.311392,2009,744816
22531334.11,18,fa,1.165679,2008,115605
7000000,27,en,0.861473,1988,136203
60000000,28,en,12.915358,2006,77920346
24000000,28,en,3.69298,2000,12372410
12600000,18,en,11.695036,2014,19054534
85000000,35,en,10.254314,2006,144000000
10000000,10402,en,11.509677,1988,3916303
55000000,16,en,7.713231,2013,110000000
75000000,16,en,14.302911,2007,527068851
3200000,27,en,6.174699,1985,10000000
2000000,80,en,5.396271,2015,2801508
22531334.11,80,en,3.14325,1992,1543112
15000000,28,en,7.024227,1995,66000000
22531334.11,14,en,8.096719,1994,4352094
100000000,37,en,8.140709,2004,108103450
22000000,27,en,7.145784,1997,26570463
7000000,27,en,19.726114,1975,470654000
22531334.11,28,en,2.011108,1993,3418141
6700000,28,hi,1.312833,2012,31000000
20000000,53,en,13.132127,2012,1969193
35000000,35,en,7.321172,2013,173965010
35000000,14,ja,6.493765,2014,83061158
10000000,28,en,11.341505,1981,85300000
22531334.11,35,sv,2.972928,1980,5010362
2600000,99,en,2.203949,2004,3166000
12000000,18,zh,7.216103,2009,10652498
22531334.11,35,en,8.358541,1992,754935
5000000,35,en,1.608163,2010,31649
49000000,53,en,16.628427,1992,352927224
22531334.11,35,en,0.410738,2016,500
22531334.11,28,en,11.478361,2003,6585516
50000000,14,en,7.668829,2011,28931401
7500000,18,en,8.593196,2009,26096852
6244087,12,en,11.722424,1969,638641
14000000,18,en,1.596058,1995,2474000
110000000,28,en,7.825072,2004,72178895
800000,18,en,0.941994,1993,1001437
22531334.11,35,en,3.74133,2013,2225098
22531334.11,37,en,0.492745,2009,206728
30000000,28,en,21.791111,2016,8574339
22531334.11,12,en,6.183051,2007,27297451
15000000,27,en,3.450402,1996,5600000
22531334.11,35,es,0.619347,1978,1622164
22000000,14,en,11.945397,1990,505000000
20000000,18,en,5.270187,2002,57588485
22531334.11,28,en,2.592927,1997,5790448
70000000,16,en,6.660309,2013,18662027
22531334.11,16,ja,12.653798,2009,80768
22531334.11,35,en,8.416802,1995,17519169
22531334.11,10749,en,2.738421,1979,43885000
19000000,35,en,9.106146,2008,18755936
23000000,10749,en,14.13488,1994,351583407
18339750,18,de,7.69224,2004,92180910
102000000,28,en,9.646208,2001,147080413
7920000,9648,en,11.162277,1978,14560084
12560000,35,fr,4.052991,2001,42700000
98000000,28,en,7.284477,1995,10017322
8500000,35,en,6.57613,2004,5001655
22531334.11,18,ru,0.241287,2012,30292
11178,35,en,0.079287,2012,34659
9500000,35,en,5.847166,2013,7800000
55000000,12,en,10.758754,2015,203427584
1000000,18,en,1.157582,2056,9000000
22531334.11,28,ja,10.686166,1995,2287714
24554,18,en,0.154526,1998,140021
22531334.11,18,en,0.871303,1988,187349
50000000,35,en,11.511424,2006,87528173
22531334.11,18,ja,6.972723,2010,17636261
10000000,878,en,2.849779,1987,14000
22531334.11,18,en,2.799447,2004,143597
15000000,80,en,10.271871,2002,13060843
15000000,12,en,15.423538,2007,56255142
27000,35,en,10.513367,1994,3151130
40000000,12,en,8.778999,2006,23937870
22531334.11,99,en,0.498877,2007,20
21000000,10751,en,8.425361,2011,72417394
72500000,35,en,6.936688,2006,162966177
12000000,28,en,5.845712,1990,46044400
50000000,10751,en,12.285545,2010,83761844
65000000,35,en,10.237996,1998,250821495
22531334.11,99,en,8.469808,2013,602042
2915739,27,te,0.558002,2009,14000000
70000000,28,en,18.324219,1998,164000000
22531334.11,18,en,2.523707,2016,23020
65000000,18,en,13.455112,2004,217764291
22531334.11,27,en,2.584025,1999,10
30000000,27,en,14.811958,2012,66486080
12000000,35,en,1.575026,1998,12902790
19000000,18,fr,4.249948,2008,23550000
7000000,80,en,7.45279,2012,48126384
25000000,35,en,3.596317,1996,1614266
9000000,27,en,28.920839,2016,276921998
22531334.11,53,en,4.322726,1994,6841570
24000000,28,en,11.269558,2003,23510601
28000000,16,en,13.856199,1994,11373501
6000000,35,en,8.990345,1994,254700832
16000000,80,en,12.153493,2007,5367030
65000000,18,en,10.543955,2014,163442937
22531334.11,28,pt,1.791965,1997,310724
160000000,28,en,26.628178,2015,653428261
22531334.11,28,ru,1.763116,2009,5873871
60000000,18,en,4.924078,2002,52322400
25000000,28,en,8.364587,2003,56489558
3000000,35,en,1.739182,1991,9563393
9000000,14,en,1.80809,1991,26055
11000000,28,en,15.750026,1990,48572000
225000,35,en,1.533379,2033,2850000
22531334.11,35,en,2.36594,2005,2945242
22531334.11,18,en,5.385108,1993,22886222
22531334.11,28,en,7.362552,1988,6193901
100000000,18,en,14.922399,2002,193772504
100000000,10751,en,12.36223,2009,100086793
108000000,80,en,19.94393,2016,22678555
30000000,35,en,4.902869,2004,21800302
26000000,35,en,7.867999,2003,110230332
15000000,18,en,10.445867,2009,8459458
9500000,18,fr,8.59498,2012,12250
16000000,35,en,1.758079,2004,12
22531334.11,18,en,5.339888,2001,6297
175000000,10751,en,19.148182,2017,350170057
55000000,80,en,11.672394,2008,113020255
60000000,16,en,10.271517,2012,118338361
115000000,878,en,15.232738,2013,286140700
20000000,14,ja,9.570657,2006,27793200
12000000,80,en,10.312017,1985,68706993
22531334.11,28,en,1.506457,1986,750000
85000000,12,en,14.170183,2012,183018522
135000000,37,en,23.501228,2015,532950503
90000000,18,en,9.112008,1999,161626121
12000000,28,en,7.569698,1987,5669831
71000000,35,en,9.439079,1998,294456605
26000000,35,en,10.177303,1996,116400000
40000000,28,en,8.062578,2011,60965854
15000000,18,en,4.582024,2010,20529194
100000000,16,en,15.088318,2006,384335608
22531334.11,10749,en,1.895489,1982,5588800
23000000,18,cn,10.861339,2009,5837674
5000000,35,en,6.226054,2007,346592
22531334.11,10752,en,2.870026,2049,3225000
1,28,ta,0.43849,2003,3
25000000,18,en,9.453942,2014,38307627
75000000,53,en,17.852022,2013,117698894
22531334.11,9648,ja,0.215013,2010,9833553
30000000,18,en,9.783762,2005,27610873
11000000,18,en,2.27258,1970,2200000
22531334.11,35,en,11.576578,2014,1289998
27000000,18,en,12.235391,1997,60527873
22531334.11,35,en,0.767631,2005,152810
22531334.11,10752,en,1.021685,1982,88000
60000000,28,en,11.234862,2014,50549107
22531334.11,35,en,3.611453,1988,14681192
36000000,18,en,14.575883,2016,87416021
12,14,en,1.410322,1996,1
1000000,12,ja,11.267366,1984,3301446
350000,99,en,2.96237,2004,3515061
110000000,18,en,13.1984,2016,121790373
7200000,12,en,12.00491,1971,116019547
22531334.11,35,en,7.093984,1984,9500000
7000000,28,en,2.483032,2001,10229331
20500000,28,en,8.333526,2008,10089373
22531334.11,99,en,0.519968,2017,393970
130000000,28,en,8.946243,2005,119269486
45000000,10751,en,21.605761,1994,788241776
75000000,28,en,7.970031,1998,14567883
65000000,14,en,12.738789,2009,93525586
22531334.11,10751,en,1.43679,2016,3162153
2200000,28,ta,1.132835,2010,9700000
3300000,18,ru,4.445867,2015,5249225
15400000,18,fr,8.400049,2012,25762027
90000000,18,en,11.3569,1999,60289912
7000,878,en,7.15307,2004,424760
12000000,18,en,7.88371,2014,101332962
22531334.11,10751,fr,8.150265,1999,1644060
22531334.11,18,en,6.068689,2016,3351735
3300000,53,en,5.840554,2015,64110728
22531334.11,35,en,1.369216,1988,1192322
13100000,18,hi,1.417392,2011,4100000
40000000,28,en,11.185625,2001,91753202
4500000,35,en,6.583161,1985,10609321
500000,27,en,2.884359,1977,17000000
16000000,878,en,6.918821,1981,17374595
30000000,16,en,5.154373,1998,100491683
14000000,18,en,7.495853,1990,5080409
35000000,16,en,11.836827,2005,19478106
22531334.11,18,en,4.470369,2015,830129
100000000,18,en,12.477872,2006,170877916
74500000,12,en,5.300303,2004,62172050
8000000,80,en,5.137903,1993,2000000
22531334.11,18,en,8.543311,2012,68929150
55000000,18,en,10.571434,1999,100230832
25000000,10751,en,10.19853,2007,229736344
22531334.11,18,en,0.118135,2010,12000
36000000,18,en,2.151436,1991,1345903
20000000,28,en,4.850968,2011,2128186
75000000,35,en,9.409379,2003,195745823
6843500,35,it,3.800073,2012,10703234
7075038,12,ru,10.181,2017,9868942
22531334.11,18,fr,2.404466,2016,126463
60000000,10751,en,7.898202,1996,129832389
18000000,35,en,6.693055,1981,72179579
22531334.11,35,en,7.957389,2008,900689
22531334.11,35,en,11.110533,2013,32230907
22531334.11,18,en,2.628306,1989,1919653
40000000,28,en,15.228794,1992,75505856
13000000,35,en,5.305311,1994,7820688
30000000,10749,en,9.378926,2005,58405313
3000000,18,hi,0.904409,2002,6000000
22531334.11,18,en,3.402261,2014,8251
22531334.11,28,en,2.469772,2013,1469
22531334.11,28,en,3.842769,1989,8143225
17000000,27,en,7.417157,1997,125586134
30000000,16,en,11.781895,1992,14110589
19000000,53,en,7.923639,1997,6682098
10000000,12,en,15.109261,1989,40485039
22531334.11,18,en,9.665142,1993,4104962
18500000,27,en,21.761179,1986,183316455
87000000,18,en,7.851669,2003,148336445
28000000,10749,en,7.598422,2013,97594140
800000,35,nl,0.170979,2006,966214
65000000,35,en,7.446085,2012,179379533
60000000,80,en,14.039655,1999,149705852
22531334.11,18,ja,8.175019,2008,69932387
22531334.11,12,en,11.258125,1985,373530
2000000,80,en,14.379879,2003,4601043
3750000,35,hi,0.597058,2010,5000000
30000000,14,en,11.43256,2011,151119219
19000000,27,en,6.701138,1986,40996665
2900000,28,en,10.92143,2009,296557
26000000,80,en,7.254242,2012,29657751
9000000,35,en,1.139949,2007,706000
22531334.11,18,en,7.34241,2012,641100
6000000,35,en,5.414213,2007,18197398
22531334.11,35,es,0.82522,2009,2012927
810000,18,en,3.099222,1977,1258000
40000000,18,en,16.94556,2006,109676311
10000000,35,en,6.737797,2016,3400278
13000000,878,en,12.994939,2004,96060858
16000000,80,en,2.488424,2000,109130
57000000,28,en,9.958406,2001,147845033
13000000,12,en,6.862146,2006,11130889
22531334.11,10751,en,7.74579,1987,300859
22531334.11,18,en,9.266214,2014,70918
40000000,12,en,8.739991,2003,160583018
7000000,35,en,6.924072,1988,50888000
762241,18,pt,4.860265,2016,285930
110000000,28,en,12.904677,2014,337580051
22531334.11,18,en,10.200553,2015,1986615
22531334.11,99,en,2.117703,1997,832735
22531334.11,9648,en,6.473842,1985,4300000
10300000,18,fr,6.165491,2016,47748
22531334.11,35,en,1.693701,1988,343786
14000000,12,en,8.226,2009,875386
30000000,14,en,14.404764,1995,254134910
85000000,28,en,12.173291,1997,315156409
80000000,53,en,4.980191,2005,5989640
23000000,35,en,5.950792,2004,12
22531334.11,18,en,6.402939,2016,1787926
22531334.11,10402,en,1.69425,2014,1009620
5000000,27,en,6.546551,1992,12534961
22531334.11,35,en,0.656215,1988,3790493
22531334.11,27,en,9.128571,2007,4910682
1288000,18,en,8.590813,2040,6000000
250000,18,en,0.003013,1992,340147
18000000,10749,en,6.344961,2016,88923251
7000000,53,en,6.950458,1995,25405445
22531334.11,36,nl,1.899468,1986,203781
22000000,35,en,9.627676,2007,147880543
90000000,18,en,14.374866,1997,171120329
22531334.11,35,en,8.09806,1989,126297830
3000000,35,en,2.428279,1990,15369573
22531334.11,80,en,10.638289,1987,18782400
17000000,18,en,11.673366,1982,270000000
16500000,35,en,6.463883,2007,13620075
16000000,18,en,12.260159,2013,318982
113,12,en,9.231318,1986,115103979
2000000,18,en,0.079856,2003,1672730
35000000,35,en,23.947351,2009,459270619
19000000,18,en,8.560694,1991,174999005
15000000,28,en,1.652275,2001,23000
25000000,10751,ru,4.037707,2010,6500000
22531334.11,27,es,0.368092,2012,1612100
18000000,35,en,2.471038,1992,6375979
3200000,35,en,5.510288,2016,4267218
20000000,28,en,6.679168,2006,22165608
22531334.11,14,en,8.450231,1993,16589540
22531334.11,37,en,0.182717,2054,1300000
10500000,28,hi,1.970481,2009,9400000
48000000,35,en,4.556123,2001,35743308
13500000,18,en,3.531089,2015,187674
22531334.11,35,en,2.183504,1993,3335984
25000000,80,en,5.481452,2010,15478800
60000000,18,en,7.685548,1998,186883563
4500000,12,ru,1.833185,2006,3468423
9000000,27,en,27.756026,2014,108782847
250000,18,en,1.924535,1991,609524
590235,16,en,8.888393,2009,1725381
35000000,28,en,5.80986,2007,63215872
12000000,80,en,8.435294,2012,66351
22531334.11,18,en,9.116245,1985,37803872
2000000,80,en,2.300459,2009,7306
25000000,28,en,10.323838,1997,11838218
2800000,27,en,12.560942,2017,3600000
15000000,28,en,18.451321,1992,44065653
22531334.11,99,en,0.91505,2006,25
80000000,16,en,11.760218,2015,473226958
22531334.11,10752,fr,7.872569,1969,741766
57000000,35,en,11.82081,2005,52034889
22531334.11,28,en,8.35399,2015,316472
25000000,9648,en,4.558992,1995,13071518
22531334.11,37,en,10.460298,2057,11750000
10000000,28,fr,5.3584,2011,10759
25000000,35,en,10.510245,2008,6673422
60000000,53,en,8.462364,1998,102367405
60000,9648,en,10.621362,1998,3221152
6500000,27,en,9.312354,2014,13865435
910000,80,en,18.211093,2054,9600000
22000000,35,en,9.863789,2017,194647323
93,35,en,11.096527,2011,2500000
27000000,53,en,8.907074,1994,101646581
22531334.11,18,en,6.625607,2016,53447
12000000,27,en,5.875606,1999,21133087
2000000,10749,ta,0.570021,2000,6000000
15000000,18,en,11.85302,2014,123726688
149000000,28,en,294.337037,2017,820580447
32000000,18,en,8.074218,2012,28258060
30000000,28,en,8.142166,2001,18195610
22531334.11,99,en,1.380258,2014,365522
10000000,18,en,7.412826,2014,28883511
13000000,18,en,11.14704,2056,122700000
22531334.11,28,ta,1.532894,2005,8500000
4000000,12,en,6.780752,2011,25345000
20000000,12,en,8.34835,2011,17425000
62000000,35,en,6.258666,2008,41819064
78146652,10749,en,9.097953,2009,60000000
28000000,35,en,6.053567,2006,38159905
4100000,18,en,3.826281,2053,36000000
22531334.11,99,en,6.316596,2016,226286
18000000,10751,en,6.41742,1986,9697739
40000000,28,en,9.034929,2010,126248813
4000000,18,en,4.661689,2007,46474
45000000,18,en,11.221186,2008,9323833
3000000,35,en,0.527297,2002,19184015
75000000,28,en,13.249824,1996,335062621
48000000,12,en,14.788987,1989,474171806
22531334.11,35,en,4.39817,2011,621951
150000000,12,en,11.30428,2015,128388320
6900000,35,en,6.8652,1993,7993039
65000000,27,en,11.023042,1998,40002112
79000000,12,en,29.423537,2002,926287400
8000000,35,en,0.537378,1969,20000000
5800000,28,en,0.906143,2006,7000000
30000000,18,en,11.066473,2002,105834556
3500000,53,en,5.732016,1990,16324573
9000000,27,en,10.182974,2016,81705746
22531334.11,99,en,0.769595,2005,238073
13000000,53,en,9.142772,2002,97837138
49000000,80,en,30.206365,2015,104399548
40000000,27,en,10.939066,2003,141591324
22531334.11,35,en,4.769347,1993,11081586
14500000,16,ja,9.298092,2001,95789342
22531334.11,28,en,4.854436,2032,600000
22531334.11,12,en,0.239993,2014,4878242
8500000,35,en,5.590678,2013,22456509
23000000,35,en,7.528276,2016,46152411
2700000,12,en,10.246132,1979,37799643
22531334.11,18,en,1.282833,2007,16136
22531334.11,18,en,12.34835,2013,1600000
75000000,35,en,11.134888,2004,196482882
20000000,18,en,8.066726,2015,36606743
22531334.11,18,es,0.699668,1984,930349
22531334.11,35,en,3.939557,2009,81010
12000000,28,en,4.73816,2060,7900000
40000000,28,en,6.322435,2012,36893721
12000000,18,en,10.159713,2017,17768012
18000000,878,en,4.29831,1986,3900000
5000000,27,en,17.656951,2002,82719885
7000000,27,en,11.00913,2003,16829545
80000000,80,en,9.554067,2010,74901339
1000000,35,en,3.374229,2001,10013424
35000000,35,en,10.754139,2016,211952420
22531334.11,18,en,12.50303,1990,20710451
16000000,28,en,8.899418,1990,48878502
22531334.11,12,fr,8.665106,2017,7800000
16000000,18,en,14.906621,2012,12434778
22531334.11,28,en,1.033927,2048,88
22531334.11,35,en,2.858879,1986,8033397
22531334.11,18,en,6.785735,2014,461162
20000000,18,en,9.351557,2007,4001121
19000000,27,en,15.339153,1996,25836616
22531334.11,35,en,0.773954,1987,1083282
10400000,18,hi,8.792104,2016,310000000
1500000,10402,mr,0.446454,2015,4400000
40000000,28,en,0.75571,2016,312242626
90000,27,en,0.837849,2058,5000000
28000000,18,en,5.01752,1997,5684789
22531334.11,35,en,0.218263,1999,9016377
22531334.11,18,ru,0.402368,2003,234748
6000000,18,en,7.903956,2008,44703995
3000000,10749,en,11.30324,2013,11176469
22531334.11,35,en,11.971318,1995,32648673
22531334.11,10749,fr,1.985348,2013,214000
8000000,27,en,10.434018,1982,21028755
8000000,35,en,5.320117,2006,100523181
13000000,18,en,5.169999,2006,1151330
35000000,53,en,13.542675,2013,42930462
15000000,28,en,20.301019,1986,356830601
12000000,18,en,7.607052,2015,60273173
65000000,12,en,10.90061,2001,117487473
16000000,35,en,12.069966,1999,53478166
5500000,18,en,6.389326,1977,26414658
100000,18,en,5.113205,2015,11000000
22531334.11,53,zh,10.475435,2014,228984
22531334.11,99,en,1.373641,2011,429766
700000,18,en,2.819298,2007,31576
22531334.11,14,en,5.121309,1997,273644
12000000,27,en,7.075534,1987,3769990
8575000,53,ko,16.727405,2016,1983204
5000000,53,en,10.737565,2004,8203235
17000000,35,en,5.924226,2004,16980098
6000000,28,en,8.522673,2061,28900000
22531334.11,18,en,3.936673,2008,1107542
22531334.11,10769,es,0.318437,2010,170000
35000000,10751,en,10.378902,1993,117270765
4500000,35,en,14.658885,1982,27092880
22531334.11,14,sv,5.472431,1982,4971340
70000000,80,en,10.876463,1999,177841558
22531334.11,18,es,7.559298,2004,837000
10000000,18,en,10.754997,2016,4073489
85000000,12,en,9.434006,1993,137298489
22000000,28,en,8.473369,2001,84772742
15000000,28,en,14.319743,2059,146900000
22531334.11,10402,en,4.379054,1993,5632086
16000000,28,hi,5.127876,2016,29251596
6000000,18,en,7.873407,2016,6174491
22531334.11,18,en,0.897413,1998,12413650
16000000,35,en,12.646518,2004,109502303
10000000,12,en,4.127728,1970,1500000
15000000,53,en,6.600651,1991,30102717
100000000,28,en,19.382082,2005,330579719
22531334.11,35,en,8.3539,2068,44527234
27000000,18,en,14.225919,1984,20158808
22531334.11,12,en,2.081712,1981,36565280
23000000,10402,en,7.667579,2008,150816700
300000,12,en,1.023164,1981,1400000
6,18,en,11.179864,2000,8
50000000,18,en,5.716009,1999,73956241
50000000,10749,en,10.337994,2014,97437106
39000000,35,en,7.830087,1988,288752301
13000000,35,en,2.326115,1998,8026971
22531334.11,18,ja,7.843562,2052,55240
5000000,18,en,9.649312,2010,1000000
50000000,18,en,5.768575,2005,94000000
9000000,878,en,14.304205,2068,2500000
22531334.11,18,en,5.682778,2044,16300000
30000000,12,en,11.766244,2005,192452832
16500000,18,en,10.673167,1995,135000000
5000000,28,en,5.839893,1983,12232628
22531334.11,35,en,2.805298,1998,49501
20000,80,ja,3.111281,1997,99000
2600000,878,es,8.623982,2007,553198
25000000,10749,en,7.438934,1994,22200000
11500000,18,en,6.514592,1994,20079850
22531334.11,35,en,11.959887,1985,13000000
13000000,14,en,8.378149,2009,754249
7500000,28,en,19.561767,2012,8135031
54000000,28,en,20.214422,2006,132511035
5500000,35,da,4.711231,2012,10016934
15000000,18,en,14.511442,2009,16633035
22531334.11,27,en,6.76513,2012,18112929
22531334.11,10751,en,1.073743,1994,70
22531334.11,28,en,4.118699,2010,10
250000000,12,en,20.644776,2013,958400000
22531334.11,18,en,4.250364,2013,340911
6300000,53,en,4.38806,2012,419953
22531334.11,35,en,8.387519,1995,76578911
2650000,18,en,4.471515,2062,3100000
6400000,35,hi,1.82294,2010,5900000
6000000,35,en,7.510159,2014,3485127
4200000,28,en,8.233168,1984,38376497
135000000,28,en,13.89018,2005,76932943
10000000,16,en,5.024459,2002,11411644
28000000,28,en,13.570264,2013,60700000
25000000,18,en,3.643468,1998,777423
22531334.11,35,en,7.174869,2011,1296937
2500000,80,en,5.490505,2055,8750000
125000000,28,en,15.049695,2004,544272402
25000000,28,en,11.109932,1986,11000000
